"Time"	"Si1"
0.46213844	-39
0.46269844	-39
0.46325844	-39
0.46381844	-39.09375
0.46437844	-38.90625
0.46493844	-39.09375
0.46549844	-39
0.46605844	-39
0.46661844	-39.09375
0.46717844	-39.1875
0.46773844	-39.1875
0.46829844	-39.1875
0.46885844	-39.09375
0.46941844	-39
0.46997844	-39.1875
0.47053844	-39
0.47109844	-39.09375
0.47165844	-39.1875
0.47221844	-39.28125
0.47277844	-39.46875
0.47333844	-39.375
0.47389844	-39.375
0.47445844	-39.28125
0.47501844	-39.28125
0.47557844	-39.1875
0.47613844	-39.28125
0.47669844	-39.46875
0.47725844	-39.375
0.47781844	-39.375
0.47837844	-39.46875
0.47893844	-39.46875
0.47949844	-39.375
0.48005844	-39.28125
0.48061844	-39.1875
0.48117844	-39.28125
0.48173844	-39.28125
0.48229844	-39.28125
0.48285844	-39.28125
0.48341844	-39.375
0.48397844	-39.375
0.48453844	-39.28125
0.48509844	-39.1875
0.48565844	-39.09375
0.48621844	-39.09375
0.48677844	-39.1875
0.48733844	-39.09375
0.48789844	-39.1875
0.48845844	-39.09375
0.48901844	-39.1875
0.48957844	-39.28125
0.49013844	-39.28125
0.49069844	-39.1875
0.49125844	-39.1875
0.49181844	-39.09375
0.49237844	-39.1875
0.49293844	-39.09375
0.49349844	-39.1875
0.49405844	-39.1875
0.49461844	-39.1875
0.49517844	-39.1875
0.49573844	-39.28125
0.49629844	-39.28125
0.49685844	-39.1875
0.49741844	-39.09375
0.49797844	-39.28125
0.49853844	-39.1875
0.49909844	-39.28125
0.49965844	-39.28125
0.50021844	-39.375
0.50077844	-39.375
0.50133844	-39.46875
0.50189844	-39.28125
0.50245844	-39.1875
0.50301844	-39.46875
0.50357844	-39.1875
0.50413844	-39.1875
0.50469844	-39.28125
0.50525844	-39.375
0.50581844	-39.375
0.50637844	-39.28125
0.50693844	-39.1875
0.50749844	-39.1875
0.50805844	-39.28125
0.50861844	-39.09375
0.50917844	-39.09375
0.50973844	-39.09375
0.51029844	-39.375
0.51085844	-39.1875
0.51141844	-39.1875
0.51197844	-39.28125
0.51253844	-39.1875
0.51309844	-39
0.51365844	-39
0.51421844	-38.90625
