"Time"	"0 Si2"
231.0964	-36.470215
231.09696	-36.470215
231.09752	-36.470215
231.09808	-36.470215
231.09864	-36.564453
231.0992	-36.470215
231.09976	-36.658691
231.10032	-36.658691
231.10088	-36.564453
231.10144	-36.564453
231.102	-36.470215
231.10256	-36.470215
231.10312	-36.658691
231.10368	-36.658691
231.10424	-36.847168
231.1048	-36.658691
231.10536	-36.75293
231.10592	-36.564453
231.10648	-36.658691
231.10704	-36.658691
231.1076	-36.564453
231.10816	-36.658691
231.10872	-36.75293
231.10928	-36.847168
231.10984	-37.035645
231.1104	-36.941406
231.11096	-37.035645
231.11152	-36.941406
231.11208	-36.847168
231.11264	-36.941406
231.1132	-36.847168
231.11376	-36.847168
231.11432	-36.847168
231.11488	-36.847168
231.11544	-36.941406
231.116	-36.941406
231.11656	-36.941406
231.11712	-37.035645
231.11768	-36.847168
231.11824	-36.658691
231.1188	-36.564453
231.11936	-36.658691
231.11992	-36.847168
231.12048	-36.847168
231.12104	-36.75293
231.1216	-36.847168
231.12216	-36.658691
231.12272	-36.75293
231.12328	-36.658691
231.12384	-36.470215
231.1244	-36.658691
231.12496	-36.658691
231.12552	-36.658691
231.12608	-36.847168
231.12664	-36.847168
231.1272	-36.941406
231.12776	-36.847168
231.12832	-36.75293
231.12888	-36.75293
231.12944	-36.75293
231.13	-36.658691
231.13056	-36.75293
231.13112	-36.75293
231.13168	-36.75293
231.13224	-36.847168
231.1328	-36.75293
231.13336	-36.847168
231.13392	-36.75293
231.13448	-36.658691
231.13504	-36.470215
231.1356	-36.470215
231.13616	-36.375977
231.13672	-36.564453
231.13728	-36.658691
231.13784	-36.470215
231.1384	-36.658691
231.13896	-36.564453
231.13952	-36.564453
231.14008	-36.375977
231.14064	-36.281738
231.1412	-36.375977
231.14176	-36.375977
231.14232	-36.470215
231.14288	-36.658691
231.14344	-36.658691
231.144	-36.658691
231.14456	-36.75293
231.14512	-36.564453
231.14568	-36.658691
231.14624	-36.658691
231.1468	-36.75293
231.14736	-36.658691
231.14792	-36.658691
231.14848	-36.658691
231.14904	-36.564453
231.1496	-36.75293
231.15016	-36.75293
231.15072	-36.847168
231.15128	-36.658691
231.15184	-36.470215
231.1524	-36.470215
231.15296	-36.375977
231.15352	-36.470215
231.15408	-36.470215
231.15464	-36.470215
231.1552	-36.470215
231.15576	-36.375977
231.15632	-36.375977
231.15688	-36.1875
231.15744	-36.281738
231.158	-36.470215
231.15856	-36.375977
231.15912	-36.564453
231.15968	-36.75293
231.16024	-36.847168
231.1608	-36.847168
231.16136	-36.847168
231.16192	-36.75293
231.16248	-36.941406
231.16304	-36.847168
231.1636	-36.941406
231.16416	-37.035645
231.16472	-37.224121
231.16528	-37.506836
231.16584	-37.412598
231.1664	-37.601074
231.16696	-37.695313
231.16752	-37.695313
231.16808	-37.789551
231.16864	-37.883789
231.1692	-37.978027
231.16976	-38.166504
231.17032	-38.260742
231.17088	-38.731934
231.17144	-38.731934
231.172	-38.92041
231.17256	-38.826172
231.17312	-39.203125
231.17368	-39.297363
231.17424	-39.48584
231.1748	-39.580078
231.17536	-39.768555
231.17592	-39.862793
231.17648	-40.145508
231.17704	-40.428223
231.1776	-40.522461
231.17816	-40.522461
231.17872	-40.710938
231.17928	-40.616699
231.17984	-40.805176
231.1804	-40.899414
231.18096	-41.087891
231.18152	-41.182129
231.18208	-41.276367
231.18264	-41.464844
231.1832	-41.65332
231.18376	-41.65332
231.18432	-41.841797
231.18488	-41.65332
231.18544	-41.65332
231.186	-41.747559
231.18656	-41.841797
231.18712	-42.030273
231.18768	-42.312988
231.18824	-42.21875
231.1888	-42.407227
231.18936	-42.407227
231.18992	-42.501465
231.19048	-42.407227
231.19104	-42.595703
231.1916	-42.501465
231.19216	-42.689941
231.19272	-42.878418
231.19328	-43.066895
231.19384	-43.161133
231.1944	-43.066895
231.19496	-43.161133
231.19552	-43.161133
231.19608	-43.161133
231.19664	-43.255371
231.1972	-43.349609
231.19776	-43.349609
231.19832	-43.443848
231.19888	-43.538086
231.19944	-43.538086
231.2	-43.443848
231.20056	-43.632324
231.20112	-43.538086
231.20168	-43.349609
231.20224	-43.349609
