mode,time_s,V0,V1
presynaptic,2.86,-40.5,-43.298680702139
presynaptic,2.87,-40.21875666127235,-43.298680727504866
presynaptic,2.88,-40.339272391741034,-43.29868075264546
presynaptic,2.89,-40.40625,-43.29868077756259
presynaptic,2.9,-40.3125,-43.29868080225807
presynaptic,2.91,-40.125,-43.29868082673372
presynaptic,2.92,-40.0446228733259,-43.29868085099132
presynaptic,2.93,-39.84375,-43.29868087503262
presynaptic,2.94,-39.65625,-43.29868089885938
presynaptic,2.95,-39.54911380412955,-43.298680922473366
presynaptic,2.96,-39.28125,-43.29868094587629
presynaptic,2.97,-39.46875,-43.29868096906987
presynaptic,2.98,-39.75,-43.29868099205581
presynaptic,2.99,-39.9375,-43.2986810148358
presynaptic,3.0,-40.125,-43.29868103741152
presynaptic,3.01,-40.21875,-43.29868105978463
presynaptic,3.02,-40.058022391741034,-43.29868108195677
presynaptic,3.03,-40.08480810602677,-43.2986811039296
presynaptic,3.04,-40.07142191015621,-43.29868112570473
presynaptic,3.05,-39.97768523270088,-43.29868114728378
presynaptic,3.06,-39.91070762444191,-43.29868116866833
presynaptic,3.07,-39.763399518415156,-43.29868118985999
presynaptic,3.08,-39.93749333872765,-43.29868121086034
presynaptic,3.09,-39.66963619587052,-43.29868123167092
presynaptic,3.1,-38.584808106026664,-43.298681252293285
presynaptic,3.11,-38.39732808984375,-43.298681272728984
presynaptic,3.12,-38.4375,-43.298681292979545
presynaptic,3.13,-38.75891524888393,-43.29868131304646
presynaptic,3.14,-38.89285048158478,-43.29868133293125
presynaptic,3.15,-38.8125133225447,-43.29868135263542
presynaptic,3.16,-38.90625,-43.298681372160424
presynaptic,3.17,-38.933029053013385,-43.298681391507735
presynaptic,3.18,-39.09375,-43.29868141067881
presynaptic,3.19,-39.133935232700914,-43.2986814296751
presynaptic,3.2,-39.09375,-43.298681448498044
presynaptic,3.21,-39.08035048158478,-43.298681467149045
presynaptic,3.22,-38.71875,-43.29868148562953
presynaptic,3.23,-38.98661380412948,-43.2986815039409
presynaptic,3.24,-39.17408715903993,-43.298681522084536
presynaptic,3.25,-39.65625,-43.298681540061814
presynaptic,3.26,-39.9375,-43.29868155787412
presynaptic,3.27,-40.09820762444191,-43.298681575522785
presynaptic,3.28,-39.924100481584844,-43.298681593009185
presynaptic,3.29,-40.03124333872765,-43.298681610334626
presynaptic,3.3,-40.3125,-43.29868162750046
presynaptic,3.31,-40.78125,-43.29868164450799
presynaptic,3.32,-41.15625,-43.298681661358515
presynaptic,3.33,-41.625,-43.29868167805333
presynaptic,3.34,-41.90625,-43.29868169459373
presynaptic,3.35,-42.09375,-43.298681710980986
presynaptic,3.36,-42.09375666127235,-43.298681727216376
presynaptic,3.37,-42.10713619587052,-43.298681743301124
presynaptic,3.38,-42.308029053013385,-43.298681759236494
presynaptic,3.39,-42.321421910156175,-43.29868177502371
presynaptic,3.4,-42.5625,-43.29868179066403
presynaptic,3.41,-42.34820762444191,-43.298681806158626
presynaptic,3.42,-42.26785048158478,-43.298681821508715
presynaptic,3.43,-42.1875133225447,-43.29868183671552
presynaptic,3.44,-42.45536380412948,-43.29868185178021
presynaptic,3.45,-42.62947094698667,-43.29868186670395
presynaptic,3.46,-42.65625,-43.29868188148793
presynaptic,3.47,-42.602685232700956,-43.29868189613331
presynaptic,3.48,-42.58929237555809,-43.29868191064123
presynaptic,3.49,-42.62945096316954,-43.29868192501282
presynaptic,3.5,-42.65625,-43.298681939249235
presynaptic,3.51,-42.5625,-43.29868195335159
presynaptic,3.52,-42.65625,-43.298681967321
presynaptic,3.53,-42.41517191015625,-43.298681981158566
presynaptic,3.54,-41.209814767299044,-43.2986819948654
presynaptic,3.55,-40.67412712667404,-43.29868200844258
presynaptic,3.56,-40.86160048158478,-43.29868202189118
presynaptic,3.57,-40.96875,-43.29868203521228
presynaptic,3.58,-41.25,-43.29868204840695
presynaptic,3.59,-41.276779053013385,-43.298682061476235
presynaptic,3.6,-40.74107808984379,-43.29868207442119
presynaptic,3.61,-40.74106476729912,-43.29868208724283
presynaptic,3.62,-40.66070762444191,-43.298682099942205
presynaptic,3.63,-40.67410048158478,-43.298682112520346
presynaptic,3.64,-40.6874866774553,-43.29868212497824
presynaptic,3.65,-40.67411380412948,-43.298682137316916
presynaptic,3.66,-40.66072094698667,-43.29868214953736
presynaptic,3.67,-40.74107808984375,-43.29868216164058
presynaptic,3.68,-40.88837953459809,-43.298682173627526
presynaptic,3.69,-40.25891524888393,-43.298682185499196
presynaptic,3.7,-40.13839951841522,-43.298682197256554
presynaptic,3.71,-40.125,-43.298682208900566
presynaptic,3.72,-40.04463619587045,-43.29868222043216
presynaptic,3.73,-40.058029053013385,-43.298682231852304
presynaptic,3.74,-40.125,-43.29868224316192
presynaptic,3.75,-40.071435232700914,-43.29868225436196
presynaptic,3.76,-40.19195762444199,-43.29868226545331
presynaptic,3.77,-40.11160048158478,-43.298682276436914
presynaptic,3.78,-39.93750666127235,-43.29868228731367
presynaptic,3.79,-39.9375,-43.29868229808448
presynaptic,3.8,-39.776779053013385,-43.29868230875023
presynaptic,3.81,-39.99107808984379,-43.2986823193118
presynaptic,3.82,-39.75,-43.2986823297701
presynaptic,3.83,-39.75,-43.298682340125985
presynaptic,3.84,-39.549100481584844,-43.298682350380304
presynaptic,3.85,-39.46875666127235,-43.29868236053393
presynaptic,3.86,-39.65625,-43.29868237058771
presynaptic,3.87,-39.84375,-43.298682380542516
presynaptic,3.88,-40.125,-43.29868239039914
presynaptic,3.89,-40.366064767299044,-43.29868240015844
presynaptic,3.9,-40.6875,-43.29868240982124
presynaptic,3.91,-40.875,-43.298682419388356
presynaptic,3.92,-41.0625,-43.2986824288606
presynaptic,3.93,-41.26338619587045,-43.29868243823878
presynaptic,3.94,-41.53125,-43.29868244752369
presynaptic,3.95,-41.665171910156175,-43.29868245671612
presynaptic,3.96,-41.758935232700914,-43.29868246581687
presynaptic,3.97,-41.69195762444191,-43.2986824748267
presynaptic,3.98,-41.61160048158478,-43.2986824837464
presynaptic,3.99,-41.71875,-43.29868249257673
presynaptic,4.0,-41.70536380412948,-43.29868250131846
presynaptic,4.01,-41.53125,-43.29868250997233
presynaptic,4.02,-41.34375,-43.2986825185391
presynaptic,4.03,-41.4375,-43.29868252701953
presynaptic,4.04,-41.31695762444199,-43.29868253541433
presynaptic,4.05,-41.25,-43.29868254372425
presynaptic,4.06,-40.87499333872772,-43.29868255195
presynaptic,4.07,-40.51338619587052,-43.29868256009231
presynaptic,4.08,-39.308029053013456,-43.29868256815189
presynaptic,4.09,-39.14732808984368,-43.29868257612945
presynaptic,4.1,-39.05356476729919,-43.29868258402571
presynaptic,4.11,-39.12054237555801,-43.29868259184135
presynaptic,4.12,-39.375,-43.298682599577056
presynaptic,4.13,-39.28125,-43.29868260723353
presynaptic,4.14,-39.642863804129334,-43.29868261481145
presynaptic,4.15,-40.03125,-43.29868262231149
presynaptic,4.16,-40.64732808984375,-43.2986826297343
presynaptic,4.17,-41.02231476729919,-43.29868263708058
presynaptic,4.18,-41.53125,-43.298682644350976
presynaptic,4.19,-41.71875,-43.29868265154613
presynaptic,4.2,-41.90625666127228,-43.2986826586667
presynaptic,4.21,-42.160727608258924,-43.298682665713315
presynaptic,4.22,-42.09375,-43.298682672686645
presynaptic,4.23,-42.375,-43.298682679587316
presynaptic,4.24,-42.46875,-43.29868268641592
presynaptic,4.25,-42.46875,-43.29868269317313
presynaptic,4.26,-42.36160048158493,-43.29868269985954
presynaptic,4.27,-42.28125,-43.29868270647576
presynaptic,4.28,-42.308022391741034,-43.2986827130224
presynaptic,4.29,-42.28125,-43.29868271950007
presynaptic,4.3,-42.14732808984368,-43.29868272590937
presynaptic,4.31,-42.080370465401614,-43.298682732250896
presynaptic,4.32,-41.87945762444199,-43.29868273852522
presynaptic,4.33,-41.0625,-43.298682744732936
presynaptic,4.34,-40.96875,-43.29868275087464
presynaptic,4.35,-41.0625,-43.29868275695089
presynaptic,4.36,-41.4375,-43.29868276296225
presynaptic,4.37,-41.57142191015625,-43.298682768909295
presynaptic,4.38,-41.77231476729919,-43.2986827747926
presynaptic,4.39,-41.87945762444209,-43.2986827806127
presynaptic,4.4,-41.83929903683044,-43.298682786370165
presynaptic,4.41,-41.81250666127228,-43.29868279206552
presynaptic,4.42,-41.55802239174133,-43.298682797699335
presynaptic,4.43,-41.651779053013456,-43.29868280327213
presynaptic,4.44,-41.625,-43.298682808784456
presynaptic,4.45,-41.51787046540174,-43.29868281423683
presynaptic,4.46,-41.37054237555801,-43.298682819629775
presynaptic,4.47,-41.57140192633972,-43.298682824963834
presynaptic,4.48,-41.25000666127228,-43.2986828302395
presynaptic,4.49,-41.25,-43.298682835457306
presynaptic,4.5,-41.0625,-43.29868284061775
presynaptic,4.51,-40.875,-43.298682845721345
presynaptic,4.52,-40.78125,-43.298682850768586
presynaptic,4.53,-40.5,-43.298682855759964
presynaptic,4.54,-40.5,-43.29868286069599
presynaptic,4.55,-39.37499333872772,-43.298682865577156
presynaptic,4.56,-38.625,-43.298682870403916
presynaptic,4.57,-38.4375,-43.29868287517678
presynaptic,4.58,-38.66517191015625,-43.298682879896205
presynaptic,4.59,-39.013379534598386,-43.29868288456269
presynaptic,4.6,-39.1875,-43.29868288917667
presynaptic,4.61,-39.10714951841522,-43.29868289373864
presynaptic,4.62,-39.281236677455446,-43.29868289824907
presynaptic,4.63,-39.30802239174133,-43.29868290270839
presynaptic,4.64,-39.375,-43.29868290711706
presynaptic,4.65,-39.375,-43.298682911475545
presynaptic,4.66,-39.32143523270087,-43.29868291578428
presynaptic,4.67,-39.16070762444199,-43.298682920043724
presynaptic,4.68,-39.09375,-43.2986829242543
presynaptic,4.69,-39.09375,-43.29868292841645
presynaptic,4.7,-38.82588619587052,-43.29868293253061
presynaptic,4.71,-38.53125,-43.2986829365972
presynaptic,4.72,-38.2901719101564,-43.29868294061666
presynaptic,4.73,-38.303564767299044,-43.29868294458941
presynaptic,4.74,-38.50445762444199,-43.29868294851587
presynaptic,4.75,-38.45089951841509,-43.29868295239643
presynaptic,4.76,-38.62500666127228,-43.29868295623154
presynaptic,4.77,-38.732136195870666,-43.29868296002158
presynaptic,4.78,-38.745529053013456,-43.298682963766986
presynaptic,4.79,-38.8125,-43.298682967468125
presynaptic,4.8,-38.66518523270081,-43.298682971125416
presynaptic,4.81,-39.09375,-43.29868297473926
presynaptic,4.82,-39.48214951841522,-43.29868297831004
presynaptic,4.83,-39.75,-43.29868298183813
presynaptic,4.84,-39.30802239174133,-43.29868298532394
presynaptic,4.85,-39.28125,-43.29868298876785
presynaptic,4.86,-39.24107808984375,-43.298682992170235
presynaptic,4.87,-39.46875,-43.298682995531465
presynaptic,4.88,-39.5625,-43.29868299885193
presynaptic,4.89,-39.5625,-43.29868300213199
presynaptic,4.9,-39.56250666127228,-43.298683005372006
presynaptic,4.91,-39.46875,-43.298683008572354
presynaptic,4.92,-39.495529053013456,-43.29868301173339
presynaptic,4.93,-39.46875,-43.29868301485548
presynaptic,4.94,-39.321435232700956,-43.29868301793897
presynaptic,4.95,-38.93304237555801,-43.298683020984214
presynaptic,4.96,-38.625,-43.29868302399156
presynaptic,4.97,-38.624986677455446,-43.29868302696137
presynaptic,4.98,-38.4375,-43.29868302989398
presynaptic,4.99,-38.316970946986544,-43.29868303278972
presynaptic,5.0,-38.20982808984375,-43.298683035648935
presynaptic,5.01,-38.10268523270081,-43.29868303847197
presynaptic,5.02,-37.96875,-43.298683041259146
presynaptic,5.03,-38.34375,-43.2986830440108
presynaptic,5.04,-38.71875,-43.298683046727255
presynaptic,5.05,-38.8125,-43.29868304940885
presynaptic,5.06,-38.691970946986544,-43.29868305205588
presynaptic,5.07,-38.66517191015625,-43.298683054668686
presynaptic,5.08,-38.94643523270081,-43.29868305724757
presynaptic,5.09,-38.97320762444199,-43.298683059792864
presynaptic,5.1,-38.79910048158493,-43.29868306230487
presynaptic,5.11,-38.71874333872772,-43.2986830647839
presynaptic,5.12,-38.4375,-43.29868306723025
presynaptic,5.13,-38.183029053013456,-43.29868306964423
presynaptic,5.14,-38.0625,-43.298683072026144
presynaptic,5.15,-38.008935232700956,-43.29868307437629
presynaptic,5.16,-37.78125,-43.298683076694964
presynaptic,5.17,-37.48660048158493,-43.29868307898247
presynaptic,5.18,-37.12500666127228,-43.298683081239076
presynaptic,5.19,-36.83036380412948,-43.29868308346509
presynaptic,5.2,-36.535720946986544,-43.2986830856608
