mode,control_gain,n_points,mean_burst_frequency_hz,std_burst_frequency_hz,mean_cycle_excitation,std_cycle_excitation,peak_cycle_excitation,mean_gain_factor,mean_alpha_eff,mean_g_eff
direct_gmax,5.020408163265306,10,0.17584922371851255,0.0038861062101532254,0.0015482998685732942,5.352993224880972e-5,0.0035804341002344114,6.020408163265303,0.049999999999999975,0.0037627551020408185
direct_gmax,5.142857142857143,10,0.17909856419695544,0.004315019799142786,0.0015497427359214204,6.0008786212906626e-5,0.0036518154896762966,6.142857142857138,0.049999999999999975,0.0038392857142857126
direct_gmax,5.26530612244898,10,0.17917235498872663,0.003833507518938849,0.001577163240348911,6.691106371055267e-5,0.0037250330666424797,6.265306122448979,0.049999999999999975,0.003915816326530613
direct_gmax,5.387755102040816,10,0.18424040962844734,0.003546371944565134,0.0016033424197496027,5.5249779505451316e-5,0.0037968857576362687,6.387755102040812,0.049999999999999975,0.003992346938775511
direct_gmax,5.510204081632653,10,0.18320095722343474,0.004377017739567927,0.0016017138203992503,5.3970162858126704e-5,0.0038690744804406397,6.5102040816326525,0.049999999999999975,0.004068877551020413
direct_gmax,5.63265306122449,10,0.18422333956765197,0.003809234534649987,0.0016235517771701878,5.639628481875468e-5,0.003944326426478776,6.632653061224485,0.049999999999999975,0.004145408163265306
direct_gmax,5.755102040816326,10,0.1843207565110921,0.0035114613913352364,0.0016679000670649087,6.438303098169133e-5,0.004017328379392003,6.755102040816327,0.04999999999999998,0.004221938775510199
direct_gmax,5.877551020408164,10,0.18479834017605745,0.004661621988931553,0.0017082110929910956,4.141410616000699e-5,0.00408960103273003,6.87755102040816,0.049999999999999975,0.004298469387755107
direct_gmax,6.0,10,0.1850128753026734,0.004027843500177493,0.0017565191381183408,4.430142265246356e-5,0.004163148130080447,7.0,0.049999999999999975,0.004374999999999999
presynaptic,0.0,0,0.0,0.0,1.096906799031142e-7,1.6966682974263364e-7,5.470971728740195e-6,1.0,0.011000000000000003,0.0010000000000000005
presynaptic,0.1016949152542373,0,0.0,0.0,1.3919310696699071e-7,7.113631821307173e-7,2.3380901789039757e-5,1.001564865234309,0.011017213517577402,0.0010000000000000005
presynaptic,0.2033898305084746,0,0.0,0.0,1.804465878095481e-7,1.9267984609861533e-6,8.883958017484857e-5,1.003129752400849,0.011034427276409329,0.0010000000000000005
