mode,control_gain,burst_time_s,burst_frequency_hz,mean_effective_excitation,peak_effective_excitation,mean_gain_factor,alpha_eff,g_eff
presynaptic,5.389830508474576,86.25551876936878,0.12349307417327714,0.00016762649880634756,0.0008790150028963324,5.44863469515255,0.059934981646678036,0.0010000000000000002
presynaptic,5.491525423728813,28.23975883088336,0.16613445277353428,0.0002569468144921629,0.0009048786169980015,6.030955575495267,0.06634051133044795,0.0010000000000000009
presynaptic,5.491525423728813,34.25897990938625,0.16335169032018626,0.0002553406052063285,0.0009044931463030028,5.996358002778416,0.06595993803056259,0.0010000000000000007
presynaptic,5.491525423728813,40.38074086600626,0.16778701130411364,0.00024360403749381412,0.0009302216108611292,5.959056380442294,0.06554962018486524,0.0010000000000000007
presynaptic,5.491525423728813,46.340677765934124,0.1586359413631915,0.00024453442132463824,0.0008923078690225044,5.917867419208531,0.06509654161129384,0.0010000000000000007
presynaptic,5.491525423728813,52.644419474192624,0.16069040951124555,0.00023093533252659378,0.0009181607574901786,5.871907117874119,0.0645909782966153,0.0010000000000000009
presynaptic,5.491525423728813,58.86756622602175,0.15994605736627332,0.00023817238532517125,0.0008820028286720833,5.8237695877160816,0.06406146546487688,0.0010000000000000007
presynaptic,5.491525423728813,65.11967407079356,0.15644047448810824,0.000219478587569753,0.0009184868465045571,5.768776428990803,0.06345654071889882,0.0010000000000000007
presynaptic,5.491525423728813,71.51188173490426,0.15565363351717046,0.0002097791901062442,0.0009133661750000938,5.708338436170201,0.06279172279787221,0.0010000000000000007
presynaptic,5.491525423728813,77.93640249554355,0.16003666253705892,0.0001390466324751381,0.0006967216642409078,5.642096417698637,0.06206306059468501,0.0010000000000000007
presynaptic,5.491525423728813,84.18497069327408,0.12704552530878446,0.00015822420459789526,0.0007591900039374,5.560007721507033,0.061160084936577354,0.0010000000000000007
presynaptic,5.593220338983051,27.89148801788648,0.16601457452261772,0.0002711899211004759,0.0009073035206720526,6.1263674008301985,0.0673900414091322,0.0010000000000000007
presynaptic,5.593220338983051,33.91505554426508,0.16634527430002885,0.0002479735639760924,0.0009366341568693971,6.091270855547933,0.06700397941102727,0.0010000000000000007
presynaptic,5.593220338983051,39.926648023870776,0.16371048019415288,0.00025426489994497686,0.0009022407107613148,6.052940753373791,0.0665823482871117,0.0010000000000000007
presynaptic,5.593220338983051,46.03499245493009,0.16481781431142525,0.0002562782885931849,0.0009053198786470444,6.0118903838712745,0.066130794222584,0.0010000000000000009
presynaptic,5.593220338983051,52.10229776520734,0.16459174957221887,0.000254169365952828,0.0009036191297722396,5.967760938877516,0.06564537032765268,0.0010000000000000007
presynaptic,5.593220338983051,58.17793644453995,0.16436559318181887,0.00025334880701173454,0.0009033707990135496,5.919269834672974,0.0651119681814027,0.0010000000000000009
presynaptic,5.593220338983051,64.26193480844215,0.17439424445882984,0.0001814796864478172,0.0008097298688858478,5.867745293453575,0.0645451982279893,0.0010000000000000007
presynaptic,5.593220338983051,69.99606900021632,0.146237311513619,0.00021395282221867897,0.0008808048675368623,5.808557082970523,0.06389412791267575,0.0010000000000000009
presynaptic,5.593220338983051,76.83426911241457,0.1543545172361567,0.00020131163447874832,0.0009064882776975924,5.738276722350336,0.06312104394585369,0.0010000000000000009
presynaptic,5.593220338983051,83.31286149769629,0.1475287690482939,0.00019627452494891487,0.0008982421912796752,5.662588185902426,0.0622884700449267,0.0010000000000000007
presynaptic,5.694915254237288,27.765438567265782,0.16565528635648966,0.0002699240008809142,0.0009148083388194046,6.220199115443081,0.0684221902698739,0.0010000000000000007
presynaptic,5.694915254237288,33.80207055163846,0.16640439507663787,0.0002647038632999523,0.0009149972630016238,6.1843610410281755,0.06802797145130993,0.0010000000000000007
presynaptic,5.694915254237288,39.81152721015669,0.16823246574110204,0.00026550220825472855,0.0009139874653578984,6.146245903067946,0.06760870493374742,0.0010000000000000007
presynaptic,5.694915254237288,45.755683087530144,0.1710002660415321,0.0002683249008685241,0.0009140343682383915,6.106046788410431,0.06716651467251475,0.0010000000000000007
presynaptic,5.694915254237288,51.603627205682116,0.16314945810398387,0.0002610785936311017,0.0009127620781178961,6.061269334471393,0.06667396267918532,0.0010000000000000007
presynaptic,5.694915254237288,57.732976402555614,0.1769531813883976,0.000188854022995194,0.0008276671907434889,6.0145395415494995,0.06615993495704449,0.0010000000000000009
presynaptic,5.694915254237288,63.384188729759174,0.14828986369380898,0.0002238069457991798,0.000893985292010171,5.959731850858569,0.06555705035944424,0.0010000000000000009
presynaptic,5.694915254237288,70.12773798586217,0.15003653234335598,0.00020307797186123363,0.0009213173854524599,5.895269541845899,0.06484796496030489,0.0010000000000000007
presynaptic,5.694915254237288,76.79278138816846,0.1413878599295552,0.0002001235069867366,0.0008429291350938035,5.822431669050042,0.06404674835955049,0.0010000000000000007
presynaptic,5.694915254237288,83.86552441220347,0.14653200921337822,0.00019104052873110581,0.0009125480786514506,5.739012853994849,0.06312914139394334,0.0010000000000000007
presynaptic,5.796610169491525,27.748223893200734,0.1666746429492404,0.0002731572680583685,0.0009165966270729103,6.313825324385074,0.06945207856823583,0.0010000000000000007
presynaptic,5.796610169491525,33.747936760769576,0.1683566080197699,0.0002694938180664899,0.0009180695747113193,6.2776777398816925,0.06905445513869862,0.0010000000000000009
presynaptic,5.796610169491525,39.68770955473423,0.17219871050609936,0.0002746566507005537,0.0009193449989358536,6.239001246995703,0.06862901371695272,0.0010000000000000007
presynaptic,5.796610169491525,45.49495397056613,0.1653902259433262,0.00026859212420211794,0.000917961953205314,6.198197767569084,0.06818017544325992,0.0010000000000000007
presynaptic,5.796610169491525,51.541260481705834,0.18509841536059046,0.00020565686942360123,0.0008592792827260266,6.155293193070338,0.0677082251237737,0.0010000000000000007
presynaptic,5.796610169491525,56.943791875893616,0.16278453477811589,0.0002589993329105566,0.000908471603233306,6.108698450153246,0.06719568295168571,0.0010000000000000007
presynaptic,5.796610169491525,63.086881582560494,0.15557531961775395,0.00024542132564417033,0.0009053761045517075,6.052465626976811,0.06657712189674493,0.0010000000000000007
presynaptic,5.796610169491525,69.51463633477302,0.1659818936776377,0.00017337231853149795,0.0008155089628774353,5.992631197581342,0.06591894317339476,0.0010000000000000007
presynaptic,5.796610169491525,75.53938986567412,0.13712809015178784,0.00020274215571573266,0.0008277282904070034,5.92093790932078,0.06513031700252857,0.0010000000000000007
presynaptic,5.796610169491525,82.83184175421931,0.14076917224628321,0.0002495362459932089,0.0009134128662150481,5.834544383114749,0.06417998821426224,0.0010000000000000007
